2025-09-16_13:42:32.561 INFO zenoh_topic_viewer Starting Zenoh DDS Web Monitor...
2025-09-16_13:42:32.561 INFO zenoh_topic_viewer Starting web server on http://localhost:8080
2025-09-16_13:42:32.561 INFO zenoh_topic_viewer Opening Zenoh session...
2025-09-16_13:42:32.561 INFO zenoh::net::runtime Using ZID: 77b2bf76b47715a9ac0f161f8aebbb5f
2025-09-16_13:42:32.562 INFO zenoh::net::runtime::orchestrator Zenoh can be reached at: tcp/[2001:630:d0:8e07:4e5d:4917:286d:563f]:36189
2025-09-16_13:42:32.562 INFO zenoh::net::runtime::orchestrator Zenoh can be reached at: tcp/[fe80::9026:9c50:5c9d:6245]:36189
2025-09-16_13:42:32.562 INFO zenoh::net::runtime::orchestrator Zenoh can be reached at: tcp/10.9.157.159:36189
2025-09-16_13:42:32.562 INFO zenoh::net::runtime::orchestrator zenohd listening scout messages on 224.0.0.224:7446
2025-09-16_13:42:33.063 WARN zenoh::net::runtime::orchestrator Scouting delay elapsed before start conditions are met.
2025-09-16_13:42:33.063 INFO zenoh_topic_viewer Zenoh session opened.
2025-09-16_13:42:33.063 INFO zenoh_topic_viewer Subscribing to all topics
2025-09-16_13:42:33.063 INFO zenoh_topic_viewer Zenoh subscriber started, waiting for messages...
2025-09-16_13:44:05.126 INFO zenoh_topic_viewer CTRL-C received. Shutting down gracefully...
2025-09-16_13:44:05.126 INFO zenoh_topic_viewer Zenoh DDS Web Monitor stopped.
2025-09-16_13:44:05.126 INFO zenoh::api::session close session zid=77b2bf76b47715a9ac0f161f8aebbb5f
2025-09-16_13:45:20.295 INFO zenoh_topic_viewer Starting Zenoh DDS Web Monitor...
2025-09-16_13:45:20.295 INFO zenoh_topic_viewer Opening Zenoh session...
2025-09-16_13:45:20.295 INFO zenoh_topic_viewer Starting web server on http://localhost:8080
2025-09-16_13:45:39.999 INFO zenoh_topic_viewer Received 48B on topic 'aircraft/STA/1/attitude' at 1758030339999
2025-09-16_13:45:40.000 INFO zenoh_topic_viewer Received 40B on topic 'aircraft/STA/1/airspeed' at 1758030340000
2025-09-16_13:45:40.000 INFO zenoh_topic_viewer Received 40B on topic 'aircraft/STA/1/groundspeed' at 1758030340000
2025-09-16_13:45:40.000 INFO zenoh_topic_viewer Received 40B on topic 'aircraft/STA/1/climbspeed' at 1758030340000
2025-09-16_13:45:40.003 INFO zenoh_topic_viewer Received 48B on topic 'aircraft/STA/1/local_position' at 1758030340003
2025-09-16_13:45:40.003 INFO zenoh_topic_viewer Received 32B on topic 'aircraft/STA/1/battery_percentage' at 1758030340003
2025-09-16_13:45:40.193 INFO zenoh_topic_viewer Received 48B on topic 'aircraft/STA/1/position' at 1758030340193
2025-09-16_13:45:40.193 INFO zenoh_topic_viewer Received 48B on topic 'aircraft/STA/1/velocity' at 1758030340193
2025-09-16_13:45:40.193 INFO zenoh_topic_viewer Received 40B on topic 'aircraft/STA/1/heading' at 1758030340193
2025-09-16_13:45:40.197 INFO zenoh_topic_viewer Received 32B on topic 'aircraft/STA/1/status' at 1758030340197
2025-09-16_13:45:40.197 INFO zenoh_topic_viewer Received 32B on topic 'aircraft/STA/1/mode' at 1758030340197
2025-09-16_13:45:40.239 INFO zenoh_topic_viewer Received 48B on topic 'aircraft/STA/1/attitude' at 1758030340239
2025-09-16_13:45:40.239 INFO zenoh_topic_viewer Received 40B on topic 'aircraft/STA/1/airspeed' at 1758030340239
2025-09-16_13:45:40.239 INFO zenoh_topic_viewer Received 40B on topic 'aircraft/STA/1/groundspeed' at 1758030340239
2025-09-16_13:45:40.239 INFO zenoh_topic_viewer Received 40B on topic 'aircraft/STA/1/climbspeed' at 1758030340239
2025-09-16_13:45:40.243 INFO zenoh_topic_viewer Received 48B on topic 'aircraft/STA/1/local_position' at 1758030340243
2025-09-16_13:45:40.243 INFO zenoh_topic_viewer Received 32B on topic 'aircraft/STA/1/battery_percentage' at 1758030340243
2025-09-16_13:45:40.354 INFO zenoh_topic_viewer Received 32B on topic 'aircraft/STA/1/movement_state' at 1758030340354
2025-09-16_13:45:40.393 INFO zenoh_topic_viewer Received 48B on topic 'aircraft/STA/1/position' at 1758030340393
2025-09-16_13:45:40.393 INFO zenoh_topic_viewer Received 48B on topic 'aircraft/STA/1/velocity' at 1758030340393
2025-09-16_13:45:40.393 INFO zenoh_topic_viewer Received 40B on topic 'aircraft/STA/1/heading' at 1758030340393
2025-09-16_13:45:40.495 INFO zenoh_topic_viewer Received 48B on topic 'aircraft/STA/1/attitude' at 1758030340495
2025-09-16_13:45:40.495 INFO zenoh_topic_viewer Received 40B on topic 'aircraft/STA/1/airspeed' at 1758030340495
2025-09-16_13:45:40.495 INFO zenoh_topic_viewer Received 40B on topic 'aircraft/STA/1/groundspeed' at 1758030340495
2025-09-16_13:45:40.495 INFO zenoh_topic_viewer Received 40B on topic 'aircraft/STA/1/climbspeed' at 1758030340495
2025-09-16_13:45:40.499 INFO zenoh_topic_viewer Received 48B on topic 'aircraft/STA/1/local_position' at 1758030340498
2025-09-16_13:45:40.499 INFO zenoh_topic_viewer Received 32B on topic 'aircraft/STA/1/battery_percentage' at 1758030340499
2025-09-16_13:45:40.594 INFO zenoh_topic_viewer Received 48B on topic 'aircraft/STA/1/position' at 1758030340594
2025-09-16_13:45:40.594 INFO zenoh_topic_viewer Received 48B on topic 'aircraft/STA/1/velocity' at 1758030340594
